build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
111241543,025e290aa9470a40a1bfcdce9a9da55b0a9c95df,,master,passed,1395,2016-02-23 15:54:41 UTC,111241544,111241545,push
110977734,3a8490a97372952d4bf96024fb4fff7b4b79e600,,master,passed,1218,2016-02-22 15:27:53 UTC,110977735,110977736,push
110852674,aa07010d6add1b0786bb00878cda7831c97f9494,990,master,passed,1157,2016-02-22 00:39:38 UTC,110852675,110852676,pull_request
110851724,83de5098d34521b284063631d030dd75e694f14e,990,master,passed,931,2016-02-22 00:30:58 UTC,110851726,110851728,pull_request
108425037,59133d4da250a3177c72dca42ed93b06e9e77ab5,,master,passed,1296,2016-02-11 00:28:53 UTC,108425038,108425039,push
108424944,22f4beb19bcdafe061eea9f4c8d2826d2e79cb30,,master,passed,1126,2016-02-11 00:25:04 UTC,108424945,108424946,push
108424701,ee36815ca9c6ba3b775f59f7671f4253e1005b81,,master,passed,1031,2016-02-11 00:21:26 UTC,108424702,108424704,push
108424676,f92f2267394aa2dfdff711335c159ae62bda87f7,,3.0,passed,412,2016-02-11 00:21:13 UTC,108424677,push
108424661,048ad2f45e0a18a0184a9dcb3152a63d060a4145,,3.0,passed,450,2016-02-11 00:21:02 UTC,108424662,push
108423839,a0aada3e817bd6824f43810fe29ae70f1bbfc9dc,,master,passed,1109,2016-02-11 00:14:56 UTC,108423840,108423841,push
107926254,cdfa93e34e0efcad338702e48ec50e86d5d64c4e,,master,errored,1519,2016-02-09 02:10:57 UTC,107926255,107926256,push
107699956,2236b2b7214efa38b4999db3c4837dffb92a9bcd,920,master,errored,1801,2016-02-08 04:25:57 UTC,107699957,107699958,pull_request
107653076,4fd3b68081c32cec918fd940e71a7c9d205b7450,972,3.0,passed,454,2016-02-07 21:56:42 UTC,107653077,pull_request
107577026,2da0d69fa24c7479a410f320ffd21d0c47a0edf1,968,3.0,errored,842,2016-02-07 12:25:00 UTC,107577027,pull_request
107576988,9ba4b3330e771d4818a57ccb8488edefb8c20abe,967,master,errored,1692,2016-02-07 12:24:45 UTC,107576990,107576991,pull_request
107478625,6b08cc55687392b68ecf46934c077db3ac611fb4,962,master,errored,1899,2016-02-06 18:58:53 UTC,107478626,107478627,pull_request
107476712,3a12cfbffc821304512f5e522062f6b440266db0,962,master,failed,789,2016-02-06 18:40:51 UTC,107476713,107476714,pull_request
107388665,bc8429989ecb3670c3897dbc9957f595a883960d,962,master,errored,1326,2016-02-06 03:21:44 UTC,107388666,107388667,pull_request
107375154,0e94c6ac6d0e79116aa2ede5f9b13f3ed0205c8b,962,master,errored,1904,2016-02-06 00:58:44 UTC,107375155,107375156,pull_request
107126420,685463981ae3764cfcf5d25c19b7b5b99d83e6b3,962,master,errored,1795,2016-02-05 01:55:00 UTC,107126421,107126422,pull_request
106380725,17c479b7110b5786071a834b969cb5962cef5e21,955,master,passed,900,2016-02-02 02:59:15 UTC,106380726,106380727,pull_request
106363666,332c1fd02a1bcad7bdbc4f0b2783321d5b6433ff,,master,passed,941,2016-02-02 00:36:07 UTC,106363667,106363668,push
106161723,ab747c4e21f6524a7d63f3fad33227973c39e508,950,master,passed,979,2016-02-01 08:31:48 UTC,106161724,106161725,pull_request
105947610,e280ffb9e1bab53460f711ac79f242637c29397f,,master,passed,1120,2016-01-30 22:58:00 UTC,105947611,105947612,push
105938632,c78f8a48ea95dc4261067ab2a7506cb0f4481efa,947,master,passed,925,2016-01-30 21:43:07 UTC,105938633,105938634,pull_request
105930198,e88f459fdfae8d0fa588e1b9e07c6027f904286c,947,master,passed,959,2016-01-30 20:40:27 UTC,105930199,105930200,pull_request
105446934,ca861e0b29aa044fcb80b02b0ecba7fa551365c8,,3.0,passed,422,2016-01-28 15:46:17 UTC,105446935,push
105446917,54ddf86aef697c8692caf1988f17bc07946fc0f0,,master,passed,1087,2016-01-28 15:46:16 UTC,105446918,105446919,push
104501385,0e19f7cd84a95130f7c7f8915b1e821c51dd1ca5,,3.0,passed,509,2016-01-24 21:46:23 UTC,104501386,push
104500885,0f93217f2dca8133be6ef6654abb0905712ec3b6,,v3.7.0,passed,482,2016-01-24 21:43:41 UTC,104500886,push
104500816,0f93217f2dca8133be6ef6654abb0905712ec3b6,,3.0,passed,419,2016-01-24 21:43:31 UTC,104500817,push
104495788,91c75ee589d0c57aa114734a3d5ff7d0571be6fe,,master,passed,992,2016-01-24 21:09:37 UTC,104495790,104495791,push
104494363,0bc1dc6ab36fee2ab6e35b6fb3f90feaaa7a42a8,,3.0,passed,383,2016-01-24 20:58:25 UTC,104494364,push
104239570,8a4605da3fd12219343be08174dc13d4fb5b85b3,920,master,passed,995,2016-01-23 03:49:36 UTC,104239571,104239572,pull_request
104238631,8188f0914d5dfd9381b9e17838a3004c53f845d7,920,master,failed,1124,2016-01-23 03:31:17 UTC,104238632,104238633,pull_request
104236672,e501a2467f92218c00305d6eab3faa8b437caba3,920,master,failed,1097,2016-01-23 03:10:21 UTC,104236673,104236674,pull_request
104236424,4c54b6318fa154bb68d2aa4034e03c47425d3642,920,master,failed,598,2016-01-23 03:07:53 UTC,104236425,104236426,pull_request
104234722,4c54b6318fa154bb68d2aa4034e03c47425d3642,920,master,failed,675,2016-01-23 02:43:58 UTC,104234723,104234724,pull_request
